"id","特效名","特效路径"
"1","捕捉结果","animation/捕捉结果"
"2","捕捉起手","animation/捕捉起手"
"3","逃跑结果","animation/逃跑结果"
"4","逃跑起手","animation/逃跑起手"
"5","药品结果","animation/药品结果"
"6",,
"7",,
"8",,
"9","召唤结果","animation/zhaohuanjieguo"
"10","attacked","geffect/SceneMovie/SE/attacked"
"11","battleoffline","animation/sprite/battleoffline"
"12","battleprepare","animation/sprite/battleprepare"
"13","inbattle","animation/sprite/inbattle"
"14","teamleader","animation/sprite/teamleader"
"15","shengjiADD","animation/sprite/levelup/shengjiADD"
"16","shengjiNOR","animation/sprite/levelup/shengjiNOR"
"17","ziti","animation/sprite/levelup/ziti"
"18","attack1","animation/sprite/newfemale/attack1"
"19","magic1","animation/sprite/newfemale/magic1"
"20","yunvjianfaADD","animation/sprite/newfemale/yunvjianfaADD"
"21","yunvjianfaNOR","animation/sprite/newfemale/yunvjianfaNOR"
"22","taskfinish","animation/sprite/npc/taskfinish"
"23","taskincomplete","animation/sprite/npc/taskincomplete"
"24","tasknew","animation/sprite/npc/tasknew"
"25","tiaoyuedian","animation/map/common/tiaoyuedian"
"26","clickground","animation/map/common/clickground"
"27","movetarget","animation/map/common/movetarget"
"28",,
"29",,
"30",,
"31",,
"32",,
"33",,
"34",,
"35",,
"36","传送","geffect/skill/wuxingdun/wuxingdun"
"37",,
"38",,
"39",,
"40",,
"41",,
"42",,
"43",,
"44",,
"45",,
"46",,
"47",,
"48",,
"49",,
"50",,
"51",,
"52",,
"53",,
"54",,
"55",,
"56",,
"57",,
"58",,
"59",,
"60",,
"61",,
"62",,
"63",,
"64",,
"65",,
"66","attackedflash","geffect/SceneMovie/SE/attackedflash"
"67",,
"68",,
"69",,
"70",,
"71",,
"72",,
"73",,
"74",,
"75",,
"76",,
"77",,
"78",,
"79",,
"80",,
"81",,
"82",,
"83",,
"84",,
"85",,
"86",,
"87",,
"88",,
"89",,
"90",,
"91",,
"92",,
"93",,
"94",,
"95",,
"96",,
"97",,
"98",,
"99",,
"100",,
"101",,
"102",,
"103",,
"104",,
"105",,
"106",,
"107",,
"108",,
"109",,
"110",,
"111",,
"112",,
"113",,
"114",,
"115",,
"116",,
"117",,
"118",,
"119",,
"120",,
"121",,
"122",,
"123",,
"124",,
"125",,
"126",,
"127",,
"128",,
"129",,
"130",,
"131",,
"132",,
"133",,
"134",,
"135",,
"136",,
"137",,
"138",,
"139",,
"140",,
"141",,
"142",,
"143",,
"144",,
"145",,
"146",,
"147",,
"148",,
"149",,
"150",,
"151",,
"152",,
"153",,
"154",,
"155",,
"156",,
"157",,
"158",,
"159",,
"160",,
"161",,
"162",,
"163",,
"164",,
"165",,
"166",,
"167",,
"168",,
"169",,
"170",,
"171",,
"172",,
"173",,
"174",,
"175",,
"176",,
"177",,
"178",,
"179","dangtoubanghe","geffect/skill/equip/dangtoubanghe/dangtoubanghe"
"180","duohun","geffect/skill/equip/duohun/duohun"
"181","hunyuangong","geffect/skill/equip/hunyuangong/hunyuangong"
"182","jinzhongzhao","geffect/skill/equip/jinzhongzhao/jinzhongzhao"
"183","qufannaozhi","geffect/skill/equip/qufannaozhi/qufannaozhi"
"184","shihougong","geffect/skill/equip/shihougong/shihougong"
"185","yanwangdi","geffect/skill/equip/yanwangdi/yanwangdi"
"186",,
"187",,
"188",,
"189",,
"190",,
"191",,
"192",,
"193",,
"194",,
"195",,
"196",,
"197",,
"198",,
"199",,
"200",,
"201",,
"202",,
"203",,
"204",,
"205",,
"206",,
"207",,
"208",,
"209",,
"210",,
"211",,
"212",,
"213",,
"214",,
"215",,
"216",,
"217",,
"218",,
"219",,
"220",,
"221",,
"222",,
"223",,
"224",,
"225",,
"226",,
"227",,
"228",,
"229",,
"230",,
"231",,
"232",,
"233",,
"234",,
"235",,
"236",,
"237",,
"238",,
"239",,
"1000",,
"1001",,
"1002",,
"1003",,
"1004",,
"1005",,
"1006",,
"1007",,
"1008",,
"1009",,
"1010",,
"1011",,
"1012",,
"1013",,
"1014",,
"1015",,
"1016",,
"1017",,
"1018",,
"1019",,
"1020",,
"1021",,
"1022",,
"1023",,
"1024",,
"1025",,
"1026",,
"1027",,
"1028",,
"1029",,
"1030",,
"1031",,
"1032",,
"1033",,
"1034",,
"1035",,
"1036",,
"1037",,
"1038",,
"1039",,
"1040",,
"1041",,
"1042",,
"1043",,
"1044",,
"1045",,
"1046",,
"1047",,
"1048",,
"1049",,
"1050",,
"1051",,
"1052",,
"1053",,
"1054",,
"1055",,
"1056",,
"1057",,
"1058",,
"1059",,
"1060",,
"1061",,
"1062",,
"1063",,
"1064",,
"1065",,
"1066",,
"1067",,
"1068",,
"1069",,
"1070",,
"1071",,
"1072",,
"1073",,
"1074",,
"1075",,
"1076",,
"1077",,
"1078",,
"1079",,
"1080",,
"1081",,
"1082",,
"1083",,
"1084",,
"1085",,
"1086",,
"1087",,
"1088",,
"1089",,
"1090",,
"1091",,
"1092",,
"1093",,
"1094",,
"1095",,
"1096",,
"1097",,
"1098",,
"1099",,
"1100",,
"1101",,
"1102",,
"1103",,
"1104",,
"1105",,
"1106",,
"1107",,
"1108",,
"1109",,
"1110",,
"1111",,
"1112",,
"1113",,
"1114",,
"1115",,
"1116",,
"1117",,
"1118",,
"1119",,
"1120",,
"1121",,
"1122",,
"1123",,
"1124",,
"1125",,
"1126",,
"1127",,
"1128",,
"1129",,
"1130",,
"1131",,
"1132",,
"1133",,
"1134",,
"1135",,
"1136",,
"1137",,
"1138",,
"1139",,
"1140",,
"1141",,
"1142",,
"1143",,
"1144",,
"1145",,
"1146",,
"1147",,
"1148",,
"1149",,
"1150",,
"1151",,
